Log data
地址       消息
36000000   Module C:\Program Files\Tencent\QQIntl\Bin\GroupApp.dll
67C00000   Module C:\Program Files\Tencent\QQIntl\Bin\QInterLive.dll
64600000   Module C:\Program Files\Tencent\QQIntl\Plugin\Com.Tencent.VAS\bin\VAS.dll
66600000   Module C:\Program Files\Tencent\QQIntl\Plugin\Com.Tencent.WBlog\Bin\WBlog.dll
63D00000   Module C:\Program Files\Tencent\QQIntl\Plugin\Com.Tencent.Qzone\Bin\Qzone.dll
64A00000   Module C:\Program Files\Tencent\QQIntl\Plugin\Com.Tencent.Wireless\Bin\Wireless.dll
01710000   Module C:\Program Files\Tencent\QQIntl\Bin\xplatformex.dll
69800000   Module C:\Program Files\Tencent\QQIntl\Plugin\Com.Tencent.AudioVideo\bin\AudioVideo.dll
17700000   Module C:\Program Files\Tencent\QQIntl\Plugin\Com.Tencent.AudioVideo\bin\xplatform.dll
6A100000   Module C:\Program Files\Tencent\QQIntl\Plugin\Com.Tencent.FileTransfer\Bin\FileTransfer.dll
7C8106E9   ID 00000878 的新线程已创建
60FD0000   Module C:\WINDOWS.0\system32\hnetcfg.dll
71A00000   Module C:\WINDOWS.0\system32\wshtcpip.dll
7C8106E9   ID 00000748 的新线程已创建
5ADC0000   Module C:\WINDOWS.0\system32\uxtheme.dll
           线程 00000F5C 已终止, 退出代码 0
           线程 00000748 已终止, 退出代码 0
00400000   卸载 C:\Program Files\Tencent\QQIntl\Bin\QQ.exe
00A30000   卸载 C:\Program Files\Tencent\QQIntl\Bin\lua.dll
00A90000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AFUtil.dll
01640000   卸载 C:\Program Files\Tencent\QQIntl\Bin\IPC.dll
01710000   卸载 C:\Program Files\Tencent\QQIntl\Bin\xplatformex.dll
01BD0000   卸载 C:\Program Files\Tencent\QQIntl\Bin\PreloginLogic.dll
02830000   卸载 C:\WINDOWS.0\system32\xpsp2res.dll
02FA0000   卸载 C:\Program Files\Tencent\QQIntl\Bin\IM.dll
10000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\arkIOStub.dll
11000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\libexpatw.dll
11100000   卸载 C:\Program Files\Tencent\QQIntl\Bin\tinyxml.dll
11200000   卸载 C:\Program Files\Tencent\QQIntl\Bin\xImage.dll
11300000   卸载 C:\Program Files\Tencent\QQIntl\Bin\libpng.dll
11400000   卸载 C:\Program Files\Tencent\QQIntl\Bin\libjpegturbo.dll
11500000   卸载 C:\Program Files\Tencent\QQIntl\Bin\jgImage.dll
11800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\ProcessSession.dll
11E00000   卸载 C:\Program Files\Tencent\QQIntl\Bin\UtilGif.dll
11F00000   卸载 C:\Program Files\Tencent\QQIntl\Bin\zlib.dll
12200000   卸载 C:\Program Files\Tencent\QQIntl\Bin\arkGraphic.dll
17700000   卸载 C:\Program Files\Tencent\QQIntl\Plugin\Com.Tencent.AudioVideo\bin\xplatform.dll
30000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\Common.dll
30800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\GF.dll
31800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\KernelUtil.dll
